labels	text	clf
O B_PER I_PER O O O O O O O O O O O B_PER I_PER O O O O O O O O O B_PER I_PER O O O O O O O O	Скульптор Георгий Франгулян в 2007 году соорудил памятный мотив в виде флага на могиле Бориса Ельцина , его работа очень понравилась супруге первого президента — Наине Иосифовне , и создание обелиска тоже поручили этому художнику	False
O O O O O O O O O O O O	По мнению скульптора , мрамор — наилучший материал для воплощения его замысла	True
O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	Было принято решение сделать его не в бронзе , не в граните , а в мраморе , мрамор живой материал , полупрозрачный , он очень хорошо сочетается с нашим климатом	True
O O O O O O O O O O O O O B_PER I_PER I_PER O O O O O	« Это такая глыба в движении , это глыба , которой и был Борис Николаевич Ельцин » , — говорит скульптор	False
O O O O O O B_PER I_PER O B_LOC O O B_LOC B_PER I_PER	Специально на торжества , посвященные юбилею Бориса Николаевича в Екатеринбург прибыл президент РФ Дмитрий Медведев	False
O O O O O O O O O O O B_LOC O O O B_PER O O O O O O O O O O O O O O O O O O O O O O O	Сегодня утром , открывая памятник , он отметил , что « Россия должна быть благодарна Ельцину за то , что в самый сложный период страна не свернула с пути изменений , провела серьёзные преобразования и сегодня движется вперёд »	False
O O O O O O B_PER B_PER I_PER O O O O O O O O O B_LOC I_LOC B_PER I_PER O O O O	В церемонии также приняли участие вдова Ельцина Наина Иосифовна , его друзья , представители федеральной власти , глава Свердловской области Александр Мишарин , руководители соседних регионов	False
B_PER I_PER O O O O O O O O O O O O O O O O O O	Борис Николаевич сделал больше чем кто бы то ни было для создания правового государства , гражданского общества в нашей стране	False
O O O O O O O O O O O O B_LOC	Мы помним , какую значительную роль в создании Конституции сыграл первый президент России	False
O O O O O B_PER I_PER O O O O O O O O O O O O B_LOC O O O O O O O	И в дни празднования юбилея Бориса Николаевича в городе проходит первый Форум общенациональной программы « Гражданское общество — модернизация России » , на котором обсуждаются важнейшие вопросы	False
O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	Вчера на форуме работали секции , посвящённые средствам массовой информации , судебной и военной реформам , модернизации экономики , материнству и защите детства , экологии и другим не менее важным проблемам нашей действительности	True
O O O O O O O O O O O O O O O O O O O O O O O O O	Гражданское общество — это общество , в котором власть нацелена на поддержку тех общественных институтов , которые в конечном итоге делают более комфортной жизнь человека	True
O O B_LOC O O O O	И на Урале такие институты активно создаются	False
O O O O B_LOC O O O O O O	В регионе первым в России возник институт Уполномоченного по правам человека	False
O O O O O O O O O O B_LOC O O O O O O O O O O O O O O O O O O	В конце 80-х , начале 90-х годов прошлого века в Свердловске появилась городская дискуссионная трибуна — один из первых российских , как выражались тогда , « рупоров гласности »	False
O O O O O O O O O O O B_LOC I_LOC	И заложил основу этому первый президент , живший тогда ещё в Свердловской области	False
O O O O O O B_LOC I_LOC O O O O O O O O O O O O	В мае 1981 года , во Дворце молодёжи , он провёл знаковую встречу со студентами и преподавателями 16 свердловских вузов	False
O O O O O O O O O B_PER O O O	В 1982 году появились регулярные телевизионные передачи - разговоры Ельцина с жителями области	False
O O O O O O O O O O O O O O O	Это было начало строительства гражданского общества в не самую , казалось бы , подходящую эпоху	True
O O O O O B_ORG I_ORG I_ORG I_ORG O O O O O O O O O O O O O O B_PER I_PER O O O O O B_LOC O O O O O O O B_PER O	Тем временем , сообщает « Новый Регион — Екатеринбург » , 1 февраля 2001 года , в день 80-й годовщины со дня рождения Бориса Николаевича , уличные художники проведут в Екатеринбурге праздничную акцию и откроют « альтернативный памятник Ельцину »	False
O O O O O B_LOC O O O O O O O O O O O O O O O B_LOC	С 27 марта 2011 года Россия будет жить только по летнему времени Практика переходов на зимнее и летнее время канет в Лету	False
O B_LOC O O O O O O O O O O O O O O O O O O O O O O	В России в ночь на 27 марта в последний раз будут переведены стрелки часов на летнее время , и эта практика уйдёт в историю	False
O O O O O O O O O B_LOC B_PER I_PER O O O O O O O O O O O B_ORG	Начиная с осени текущего года , согласно распоряжению президента РФ Дмитрия Медведева , практика перехода на зимнее и летнее время отменяется , сообщает NEWSru.com	False
O O O O O O O O O O O O O O O O O O O B_LOC O B_ORG I_ORG	Отказ от перевода стрелок является инициативой действующего главы государства , впервые озвученной в 2009 году во время обращения президента РФ к Федеральному собранию	False
O O O O O O O O O O O O O O O O	« Я принял решение об отмене перехода на зимнее время — начиная с осени текущего года	True
O O O O B_ORG O O O O B_PER O O O O O O O O O O O B_LOC O O O O O O O O	И даю соответствующее поручение правительству » , — сказал Медведев 8 февраля на встрече с молодыми учёными и лауреатами премии президента РФ в области науки и инноваций за 2010 год	False
O O O O O O O O O O O O O O O O	Он подчеркнул , что « необходимость адаптироваться связана и со стрессом , и с заболеваниями »	True
O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	« Мы , действительно , привыкли каждую весну и осень переводить стрелки часов и все по привычке на это ругаться , потому что реально нарушается биоритм человеческий , всё это раздражает , все либо просыпают , либо просыпаются рано и не знают , куда себя деть в течение лишнего часа	True
O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B_PER	Ну , я уж не говорю о несчастных коровах и других животных , которые не понимают перевода часов и не понимают , почему доярки приходят к ним в другое время » , — сказал Медведев	False
O O O O O O O O O B_LOC O O O	Установление повсеместно в стране летнего времени , подчеркнул президент РФ , будет полезным	False
O O O O O O O O O O O O	Практика перевода стрелок существовала в нашей стране в течение последних 30 лет	True
O O O O O O O O O O O O O O O O O O O O O O O O O O O O	Осенью , как правило , в начале октября стрелки часов переводились на один час назад , а весной , ближе к началу апреля , на один час вперёд	True
O O O O O O O O O B_ORG I_ORG I_ORG O O O O O	"Украинский автомобиль « Славута » , олицетворявший целую эпоху завода "" ЗАЗ "" , уходит в историю"	False
O O O O O O O O O O O O O O O O B_ORG O	Производство этих машин завершилось несколько дней назад , а вместо них на конвейер поставили новые автомобили ЗАЗ Forza	False
O O O O O O O O O O O O O O O O O B_LOC O O O	« Славута » ( ЗАЗ-1103 ) , была построена на платформе « Таврия » и выпускалась на Украине с 1999 года	False
O O O O B_ORG I_ORG I_ORG O O O O O O	За этот промежуток времени Запорожский автомобилестроительный завод собрал более 140 тысяч таких автомобилей	False
O O O O O O O O O O O O O O O O	Последний из них , коллекционный экземпляр , выставили на интернет-аукцион , который завершится через 6 дней	True
O O O O O O O O O O O O O O O O O	Обсудим потенциал развития субкультур Учёные и представители общественности соберутся для изучения норм и ценностей различных человеческих сообществ	True
O O O O O O	« Субкультуры : потенциал развития »	True
O O O O O O O O B_LOC O O B_ORG I_ORG I_ORG I_ORG I_ORG I_ORG	Научно-практическая конференция на данную тему впервые пройдёт в России по инициативе автономной некоммерческой организации Global Cultural Project	False
O O O O	21 - 22 октября	True
B_ORG I_ORG I_ORG I_ORG I_ORG I_ORG O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	Центр современной культуры « Гараж » примет десятки заинтересованных исследователей , политиков , журналистов , деятелей культуры и искусства , да и просто увлекающихся заявленной темой людей , готовых обсудить всё многообразие , особенности и проблемы современных субкультур	False
O O O O O O O O O O O O O O O O O O B_PER I_PER O O O O O B_ORG I_ORG I_ORG O B_LOC O B_LOC O O B_PER I_PER O O B_ORG I_ORG I_ORG O B_LOC O O B_PER I_PER O O O O B_ORG I_ORG I_ORG I_ORG I_ORG I_ORG I_ORG I_ORG O B_LOC O O B_PER I_PER O O O O O O O B_ORG I_ORG I_ORG I_ORG I_ORG O B_ORG I_ORG I_ORG I_ORG I_ORG O B_LOC O	В мероприятии примут участие не только российские учёные , но и зарубежные исследователи , в том числе , Крис Хелмбрехт - управляющий директор и совладелец креативного агентства Kollektiv ( Германия , США ) , Ннека Угбома - руководитель проекта Mushroom works ( Великобритания ) , Гергей Ковач - политик и лидер субкультурной партии « Dog with two tails » ( Венгрия ) , Георг Жено - немецкий режиссёр , один из создателей экспериментального театра « Театр.doc » , Театра им . Йозефа Бойса ( Германия )	False
O O O O O O O O O O O O B_PER I_PER O O B_ORG I_ORG I_ORG O B_PER I_PER O O B_ORG I_ORG I_ORG O B_PER I_PER O O B_ORG I_ORG I_ORG I_ORG I_ORG O B_PER I_PER O O	Своим мнением о значении , природе возникновения и противостояния субкультур также поделятся Светлана Яковлева - директор Global Cultural Project , Кирилл Разлогов - директор Российского института культурологи , Валерий Тишков - директор Института этнологии и антропологии РАН , Виктор Майклсон - зав	False
B_ORG I_ORG I_ORG I_ORG I_ORG I_ORG	кафедрой социальных коммуникаций и технологий РГГУ	False
O O O O O O O O O O O O	В рамках конференции пройдёт конкурс видео-роликов « Субкультуры - маркер реальности »	True
O O O O O O O O O O O O O O O O O O	Это прекрасная возможность довести до широкой общественности своё видение той или иной субкультуры , дать оценку её значимости	True
O O O O O	Мероприятие также отличается богатой арт-программой	True
O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	Участники конференции станут зрителями интерактивного спектакля « Большой город » , героями которого будут ярчайшие представители различных субкультур , а также окажутся субъектами субкультурной диагностики во время игровых провокаций	True
O O O B_ORG I_ORG	Об этом сообщает PR-служба конференции	False
O O B_LOC O O O O O O O O O O O B_PER I_PER O B_LOC	Недоглядел Посла Японии уволили за то , что не собрал вовремя информацию о поездке Дмитрия Медведева на Курилы	False
O B_LOC O B_LOC B_PER I_PER O O O O	Посол Японии в России Масахару Коно будет снят с должности	False
O O O O O O O O B_ORG O O O O B_ORG I_ORG I_ORG I_ORG O O O O O O O B_LOC I_LOC	Поводом для отзыва стал тот факт , что дипмиссия не смогла вовремя предоставить правительству Страны восходящего солнца точных сведений о визите российского президента на Курильские острова	False
O O O O O O O B_PER I_PER O O O	Ранее источники в посольстве докладывали , что Дмитрий Медведев воздержится от поездки	False
O O O O O O B_LOC O O O O O O O O O B_LOC I_LOC I_LOC	Однако , как известно , глава России 31 октября всё же побывал с рабочей поездкой на южных островах архипелага	False
O O B_ORG O O O O B_PER O O O O	Как сообщает РБК , решение об увольнении Коно было принято 22 декабря	False
O O O O O O O B_LOC O B_LOC B_PER I_PER O O O B_ORG I_ORG I_ORG I_ORG I_ORG	Предполагается , что его место займёт посол Японии в Чехии Синдзи Харада , ранее возглавлявший отдел России в японском МИДе	False
O O O O O O B_PER I_PER O B_LOC O B_LOC B_PER I_PER I_PER O O O O O O O O O O O O B_ORG I_ORG B_PER I_PER O O O O O O O O O O O	Напомним также , что после поездки Дмитрия Медведева на Курилы премьер-министр Японии Н . Кан заявил , что этот визит « вызывает сожаление » , а глава японского МИДа Сэйдзи Маэхара отметил , что этот поступок « ранит чувства японского народа »	False
O O O O O O B_LOC O	На следующий день он отозвал из России посла	False
O O O O O B_ORG I_ORG I_ORG O O O B_LOC	Однако через некоторое время представитель японского дипломатического ведомства вновь вернулся в Москву	False
B_ORG I_ORG O O O O O O O O O O O O O B_LOC I_LOC I_LOC O O O B_LOC O O B_LOC O O	Правительство Японии выразило решительный протест против состоявшегося в пятницу визита российского министра обороны , посетившего южные Курильские острова , которые и Япония , и Россия считают своими	False
O O O O O B_LOC I_LOC O O O O O B_LOC I_LOC O O O B_LOC I_LOC O O O O	Четыре острова , которые называются Южными Курилами , и которые японцы называют Северными территориями , отошли к Советскому Союзу после Второй мировой войны	False
O O O O O O O O O O O O O O O O O O O O O O O O	Территориальный спор вокруг этих островов до сих пор , через 65 лет после окончания военных действий , не дает двум странам заключить мирное соглашение	True
O B_LOC B_PER I_PER O O O O O O O O B_LOC B_PER I_PER O O O O O O O	Премьер-министр Японии Наото Кан назвал посещение двух из этих островов министром обороны России Анатолием Сердюковым « в высшей степени достойным сожаления »	False
O O O O O O O O O O B_LOC O O O B_LOC B_PER I_PER	Эта поездка состоялась лишь за неделю до запланированного визита в Москву министра иностранных дел Японии Сейджи Маехары	False
O O O O O O O O O O O O	Шаттл « Дискавери » завершил свой 39-й и последний полёт в космос	True
O O O O O O O O B_LOC I_LOC O B_LOC	В 19.58 мск он приземлился на космодроме на мысе Канаверал во Флориде	False
O O O O O O O O O O O O O	Полёт , который первоначально должен был продлится 11 дней , занял 13 суток	True
O O O O B_LOC O O O O O O O B_ORG I_ORG I_ORG	После своего возвращения на Землю навсегда , челнок займёт почётное место в американском музее аэронавтики	False
B_ORG I_ORG I_ORG I_ORG I_ORG O O O O O O O O O O O O O O O O O O O O O O O O O O	Программа « Спейс шаттл » близка к своему завершению : после « Дискавери » , в космос по разу отправятся также шаттлы « Индевор » ( в конце апреля 2011 г	False
O O O O O O O O O O O	) и « Атлантис » ( в конце июня 2011 г	True
O	)	True
O O O O O O O O O O B_ORG I_ORG I_ORG I_ORG I_ORG I_ORG	Два в одном Звёзды отечественного рок-н-ролла 80-х встретятся на сцене московского клуба « 16 тонн »	False
O O B_PER I_PER O O B_ORG I_ORG I_ORG I_ORG O O B_PER I_PER O O B_ORG I_ORG I_ORG I_ORG O O O O O O	13 ноября Василий Шумов , лидер московского « Центра » , и Михаил Борзыкин , солист ленинградского « Телевизора » , снова встретятся на одной сцене	False
O O O O O O O O O O O O O O	Эти легендарные музыканты с начала перестройки и до настоящего времени остаются вне музыкального мейнстрима	True
O O O O O O O O O O O	При этом корифеи российского рок-н-ролла продолжают приумножать число поклонников своего творчества	True
O O O O O B_ORG O O B_ORG O O O O B_ORG O O O O B_ORG I_ORG O B_ORG I_ORG	Критики сравнивают ранние записи « Центра » с Kraftwerk , а композиции « Телевизора » — с творчеством Depeche Mode и The Smiths	False
O O O O O O O O O O	Сегодня звучание и содержание этих коллективов остаётся свежим и интересным	True
B_PER O O B_LOC O O O O O O O O O O O B_PER I_PER O B_PER I_PER	Шумов первым в СССР начал электронные эксперименты , записал более 10 магнитоальбомов , продюсировал пластинки Петра Мамонова и Жанны Агузаровой	False
O O O O O O O B_PER I_PER O O O B_LOC O O O O O O B_ORG I_ORG	В начале 90-х он женился на сестре Джоанны Стингрей и переехал в США , где преподаёт технологии мультимедиа в Университете Лос-Анджелеса	False
O O B_PER O O O O O O O O O O O O O B_ORG	Последние альбомы Шумов записывает совместно со своими слушателями — « центробораторами » , пересылая треки через интернет	False
B_PER I_PER O O O O O O	Михаил Борзыкин по праву считается родоначальником русской неоромантики	False
O O O O O O O O O O	Группа известна своими мрачными нонконформистскими текстами в модных экспериментальных аранжировках	True
O O O B_ORG O O O O O O O O O O O O O O O O O O O O O O O O O	Сегодня 25-летний « Телевизор » переживает творческий подъём , часто выступает на политических митингах и общественных акциях , записал альбом « Дежавю » — первый за последние четыре года	False
O O O O O O B_PER I_PER O O O O O O O O O O O O	30 марта 2011 года состояние здоровья Людмилы Гурченко неожиданно ухудшилось , что было вызвано недавно перенесённой операцией или сердечным приступом	False
O O O O O O O O O O O O O O O O O O O O O O O O O O O	Весьма оперативно прибывшая по вызову бригада « Скорой помощи » ( 21 минута в пути ) не смогла её реанимировать , и в 19:28 была зафиксирована смерть	True
O O O O B_PER I_PER	Это подтвердил муж актрисы Сергей Сенин	False
O O O O O O O O O O O O O O	За полтора месяца до смерти актриса подскользнулась у своего дома и получила серьёзную травму	True
O O O O O O O O O O O O O O O O	Она была госпитализирована , на следующий день ей была сделана хирургическая операция , выписана 7 марта	True
O O O O O O B_ORG O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B_PER I_PER	"Согласно информации , опубликованной в « КП » , в беседе по телефону сразу после операции актриса , на случай трагического финала , попросила не писать о ней слов "" великая "" , "" прекрасная "" , "" любимая миллионами "" , "" заслуженная "" , "" необыкновенная "" и попросила : « Напишите просто - Людмила Гурченко"	False
O O O O O O O	Не люблю я весь этот пафос »	True
O B_ORG B_PER I_PER O O B_ORG I_ORG B_PER I_PER O O O O O	Глава государства Дмитрий Медведев и Председатель Правительства РФ Владимир Путин выразили глубочайшие соболезнования семье актрисы	False
O O O B_LOC I_LOC I_LOC O O O O	В субботу в Центральном доме литераторов состоится прощание с актрисой	False
O B_PER I_PER O O O O B_LOC I_LOC	Похороны Людмилы Марковны состоятся 2 апреля на Новодевичьем кладбище	False
B_PER I_PER O O B_ORG I_ORG O O O O O O O O O O B_LOC	Валерий Зорькин , председатель Конституционного суда , высказал сомнения в правильности решения о переезде суда в Петербург	False
O B_ORG O O O O O O O O B_PER O O O B_ORG O O O O O O	Хотя Дума уже одобрила соответствующий законопроект в первом чтении , Зорькин надеется , что Дума ещё раз всё обдумает и перерешит	False
O O O O O O O B_ORG I_ORG B_LOC I_LOC I_LOC I_LOC I_LOC O B_PER O O O O O O O O O O O O O O O	Во время недавнего посещения , предназначенного для Конституционного суда комплекса зданий Сената и Синода , Зорькин сказал , что переезд повлечёт за собой перерыв в работе суда и спровоцирует персональные проблемы	False
O O O O O O O O B_LOC	Не все опытные члены суда готовы уехать из Москвы	False
O O O O O O O O O O O O O O O O O	Судьи для высшего суда страны были найдены не на улице , они были подобраны в индивидуальном порядке	True
O O O O O B_ORG I_ORG O O O O O O O O B_ORG I_ORG I_ORG O O O O O B_PER O O O O	После первой инспекции предложенного для Конституционного суда здания ( из которого в настоящий момент переезжает Исторический государственный архив ) в конце 2005 года Зорькин высказывался о проекте положительно	False
O O O O O O B_PER O O O O O O O O O O B_LOC O O O O O	Но тогда при этом присутствовал президент Путин , который поддерживает идею переезда , в целях поднятия статуса Петербурга как « второй столицы »	False
B_ORG I_ORG I_ORG I_ORG O O O B_PER	Служба прессы Конституционного суда пытается нейтрализовать высказывание Зорькина	False
O B_PER O O O O O O O O O O O O O O O O O O B_ORG	Судья Зорькин ещё не высказал свою точку зрения однозначно за переезд или против , так как вопрос находится в компетенции Думы	False
O O O O O O O O O	Но , он всегда указывал на возможные персональные трудности	True
B_LOC O O O O O O O O O B_ORG I_ORG I_ORG I_ORG O B_LOC	США должны защищать себя от обвинений в применение пыток перед комитетом ООН против пыток в Женеве	False
O O O O O O B_ORG I_ORG I_ORG I_ORG B_PER I_PER O B_PER I_PER O O O B_ORG I_ORG O O O O O O O O O O	Государственный секретарь по вопросам прав человека американского министерства иностранных дел Барри Лоуенкрон ( Barry Lowenkron ) подчеркнул позицию правительства США : « Мы не разрешаем и не допускаем пытки »	False
B_PER O O O O O B_ORG I_ORG O O O O O O O O O O O O B_ORG I_ORG	Лоуенкрон указал на то , что правительство США прилагает все свои усилия для выявления всех инцидентов связанных с пытками в тюрьме Абу-Грэйв	False
O O O O O O O O O O O O O	До сих пор выявлено 600 случаев и более половины из них найдены виновные	True
O O O O O B_ORG O O O O O O O O	Вопросы связанные с тайными тюрьмами ЦРУ американцы не намерены обсуждать ссылаясь на некомпетентность комитета	False
O O O O O O O O O O O O O O O	Американцы защищают положение , по которому должны быть различимы военнопленные и « нелегальные боевики »	True
O O O O O O O O O O O O B_ORG O O O O O O O O	В то время как военнопленные находятся под защитой Женевской конвенции , боевики Аль-Каиды не подпадают под эту конвенцию , считают американцы	False
O O B_ORG I_ORG O O O O O O O O O O O	В понедельник делегация США , состоящая из 30 членов , должна прояснить все неприятные вопросы	False
O O O O O O O O	19 мая комитет должен будет опубликовать свое заключение	True
B_ORG I_ORG O B_ORG I_ORG O O B_LOC O O O	Международная амнистия ( Amnesty International ) обвиняет США в двойном подходе	False
O O O O O O O O O O O O O O O O O O O O O O O O	Хотя , американцы отрицают применение пыток или попустительство пыткам , все же , они создали условия , в которых пытки и истязания стали возможными	True
O B_ORG I_ORG O O B_LOC O O O O O O B_LOC O B_LOC O O O O	В лагере Гуантанамо , на Кубе , и в бесчисленных тюрьмах в Ираке и Афганистане пытки принадлежат к повседневности	False
B_LOC O O O O O O O O O O O O O O O O O O O O O O	США обвиняются в том , что в некоторых случаях , для допросов , подозреваемые в терроризме перевозились в страны , где пытки привычны	False
O O O O O O O O O O O	Таким образом , обходились законы , запрещающие пытки в собственной стране	True
O O O O O B_ORG O O B_LOC O B_LOC O O B_PER I_PER O B_PER I_PER O O O O O O O B_LOC O O O O O O O O O O B_ORG O O O O B_LOC	Получил известность случай , когда ЦРУ захватило в Македонии гражданина Германии ливанского происхождения Халеда эль-Масри ( Khaled el-Masri ) и для допросов переправило его в Афганистан , а также канадец сирийского происхождения , который считался членом Аль-Каиды , был переправлен в Сирию	False
O B_ORG O O B_ORG I_ORG I_ORG I_ORG O O O O O O O O B_ORG I_ORG O O O B_ORG I_ORG I_ORG O O O O O O O	« Билайн » ( ОАО « ВымпелКом » ) в ближайшее время объявит о присоединении к проекту 0.facebook.com крупнейшей в мире социальной сети Facebook ( более 400 млн активных пользователей )	False
O O O O O B_ORG O O O O O O O O O O O O O	В рамках этого проекта « Фэйсбук » предоставляет бесплатный доступ к мобильной версии своего портала абонентам многих сотовых операторов	False
B_ORG O O O O O O O O O O O O O O O O O	Facebook позволяет создать профиль с фотографиями , приглашать друзей , обмениваться сообщениями , оповещать других пользователей о статусе	False
B_ORG O O O O O O O	Facebook также предоставляет возможность создавать группы по интересам	False
O O O B_ORG O O O O O O O O O O O O O O O O	В 2007 году Facebook объявил о инициативе , позволяющей сторонним программистам создавать программы для определенных услуг и зарабатывать на этом	False
O O O O O O O O O O O O O O O O O O O O O O O	Данная акция позволила интегрировать многочисленные функции ( игры , инструменты обмена музыкой и фотографиями ) , что в свою очередь стимулировало активность пользователей	True
B_ORG O O O O O O O O O O	Facebook предлагает множество функций , с помощью которых пользователи могут взаимодействовать	False
O O O O O O O O O O O O O O O O O O O O	Среди наиболее популярных — виртуальное подмигивание , фотоальбомы и « стена » , на которой друзья пользователя могут оставлять сообщения	True
O O O O O O O O O O O O O O O O O O O O O O O	Пользователь может контролировать уровень доступа к информации , опубликованной на профиле , и определять , кто имеет доступ к той или иной части	True
O O O B_ORG I_ORG O O O O O O O B_ORG O O O O O O O O	Как сообщается на сайте Roem.ru , сейчас не платить за трафик на Facebook могут абоненты 50 сотовых операторов в 45 странах	False
O B_ORG O O O O O O O O O O O	« Билайн » станет первым российским сотовым оператором , присоединившимся к этому проекту	False
O O O O O B_LOC I_LOC B_LOC I_LOC O O O O O O O O O B_ORG B_PER I_PER	5 апреля 2011 года столице Чеченской республики городе Грозном прошла церемония инаугурации экс-боевика сепаратистов , а ныне генерал-майора МВД Рамзана Кадырова	False
O O O O B_LOC I_LOC B_PER I_PER I_PER O B_ORG I_ORG O O O O B_ORG O O O O O O O O	Ещё 28 февраля президент Российской Федерации Дмитрий Анатольевич Медведев предложил парламенту Чечни рассмотреть кандидатуру действующего ставленника Кремля , с целью избрания его на второй срок	False
O O O O O O O O O O O O O B_PER O O O O B_LOC O O O O O O O O	Как это не удивительно , чеченские парламентарии ( в подовляющем большинстве близкие клану Кадырова люди ) восприняли инициативу Москвы с энтузиазмом и проголосовали за неё практически единогласно	False
O O B_LOC O B_LOC I_LOC I_LOC B_PER I_PER O O B_ORG I_ORG O O B_ORG I_ORG I_ORG O B_PER I_PER O O O O O O O O O O O O O O O O O O	Полпред президента РФ в Северо-Кавказском федеральном округе Александр Хлопонин , представители Госдумы России , председатель Совета муфтиев России шейх Равиль Гайнутдин , другие известные религиозные деятели и политики общим количеством около восьмисот человек приняли участие в этом знаменательном событии	False
O O O O O O	« Изменений у нас не будет	True
O O O O O O O	Мы будем работать , как и раньше	True
O O O O O O O O O O O O B_PER I_PER I_PER I_PER O O O O O O O O O O O O O O O O B_PER I_PER	Сложилась хорошая команда , которая состоялась как команда единомышленников нашего первого президента Ахмат - Хаджи Кадырова , которая своим трудом и знаниями доказала свою состоятельность и профессионализм ... » заявил после инагурации Рамзан Кадыров	False
O O O O O O O O O O O O O O B_LOC O O O O O O O O O O O O O O O O O O O O O	Эти слова нового старого главы республики внушают оптимизм и веру в то , что Чечня продолжить путь мирного строительства и добрососедства , если и далее будет своевременно получать необходимых средства , которые зарабатывают другие российские регионы	False
B_ORG I_ORG O O O O O O O O B_LOC O O O O O O O O O O O O O O O O O O O O O O O O B_PER	Пресс-служба Кадырова заявила , что в столице и по всей Чечне сегодня царит праздничное настроение , улицы украшены баннерами и флагами ; всё в точности так , как обычно происходило при очередном подтверждении полномочий почившего Туркмен-баши	False
O B_LOC B_PER I_PER O O O B_ORG I_ORG O B_LOC O O O O O O O O O O O O B_LOC O O O	Премьер-министр Японии Наото Кан накануне визита главы японского МИДа в Москву пообещал , что его правительство будет « упорно » настаивать на возвращении Россией четырех спорных островов	False
B_PER O O O O O O O O O O O O O O O O O O O O O O O B_LOC O O O O O O O B_LOC O B_LOC I_LOC	Кан сделал это заявление в понедельник 7 февраля на митинге , собравшем более 1000 человек , которые требовали возвращения четырех островов , называемых в Японии « северными территориями » , а в России – Южными Курилами	False
B_PER O O O O O O B_LOC B_PER I_PER O O O O O O O O O O O	Кан также осудил визит на острова президента России Дмитрия Медведева в ноябре прошлого года , назвав его « непростительным оскорблением »	False
O O O O O O B_LOC I_LOC O O O O O O O O O O O O O O O O O	Из-за спора по островам , захваченным Советским Союзом в конце второй мировой войны , две страны в течение 65 лет остаются без официального мирного договора	False
B_PER O O O O O O O O O O O O O O O O O B_LOC	Кан сообщил , что будет терпеливо , но настойчиво вести переговоры о возвращении островов и заключении договора с Россией	False
O O O B_LOC B_PER I_PER O O O B_LOC O O O	Министр иностранных дел Японии Сейдзи Маэхара должен прибыть в Москву на этой неделе	False
O O O O O O O O O O O O O O B_ORG I_ORG I_ORG I_ORG O O O O O O O O O O O O O	По сообщению российских СМИ , утром в понедельник « японские ультраправые » собрались у российского посольства в Токио , выкрикивая лозунги , зачитывая петиции с требованием вернуть « северные территории »	False
O O O O O O B_ORG I_ORG I_ORG I_ORG O O O O O O O O O O O O O O O O O O O	Одна из групп протестующих , уточняет газета « Труд » , пришла к российской дипмиссии « с изорванным и исписанным российским флагом , который они волочили по земле »	False
O O O O O O O O O O O O O O O O O O O O O O O O O	Японская полиция , по данным газеты , отметила , что в этом году число представителей радикальных организаций было несколько больше , чем в прошлые годы	True
O O O O O B_ORG I_ORG I_ORG B_PER I_PER O O O O O O O O O O O O O O O O O O O O B_PER I_PER O O O O O O	В свою очередь , глава внешнеполитического ведомства России Сергей Лавров на встрече с журналистами в понедельник резко отреагировал на заявление японского премьера по курильской проблеме , заявив , что высказывания Наото Кана носят « явно недипломатический характер »	False
